f1_avg_bitrate,f2_avg_bitrate,diff_avg_bitrate,ratio_avg_bitrate,jaccard_unique_artists,jaccard_unique_albums,f1_generic_filename_score,f2_generic_filename_score,diff_generic_filename_score,f1_generic_title_score,f2_generic_title_score,diff_generic_title_score,f1_has_art,f2_has_art,both_has_art,art_hashes_match,comp_file_hash_similarity,comp_file_size_similarity,comp_filename_similarity,comp_title_similarity,comp_album_similarity,comp_artist_similarity,comp_albumartist_similarity,comp_folder_name_similarity,comp_album_art_hash_similarity,comp_duration_similarity,comp_is_identical_by_hash,comp_avg_add_meta_similarity,comp_count_high_add_meta_similarity,target_label,label_source,folder1_path_id,folder2_path_id
128.0,128.0,0.0,1.0,0.0,0.0,0.29698772961930864,0.264503876615915,0.032483853003393626,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8277449020114112,0.5847606630130813,0.5,0.9333333333333333,0.9375,0.9375,0.19047619047619047,0.0,0.6983068014176717,0.0,1.0,2.0,5.0,gemini_cached,D:\בעלי תשובה\אחישנה\לך ה' אלוקי,D:\בעלי תשובה\אסף נגל\אדיר במרום
32.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,0.75,0.0,0.0,0.0,0.48484848484848486,0.0,1.0,0.0,1.0,1.0,15.0,gemini_cached,D:\בעלי תשובה\ארז משה דורון\000[066] כסף,D:\בעלי תשובה\ארז משה דורון\000[068] להאמין בעצמו
32.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,0.75,0.0,0.0,0.0,0.5,0.0,0.9536024516629182,0.0,1.0,1.0,20.0,gemini_cached,D:\בעלי תשובה\ארז משה דורון\064 תמיד תלמיד,D:\בעלי תשובה\ארז משה דורון\065 שכל פנמי ושכל מקיף
32.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,0.75,0.0,0.0,0.0,0.43478260869565216,0.0,1.0,0.0,1.0,1.0,25.0,gemini_cached,D:\בעלי תשובה\ארז משה דורון\037 ליל הסדר,D:\בעלי תשובה\ארז משה דורון\053 להשתנות
32.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,0.75,0.0,0.0,0.0,0.42553191489361697,0.0,1.0,0.0,1.0,1.0,15.0,gemini_cached,D:\בעלי תשובה\ארז משה דורון\061 אמת לרחק ואמת לקרב,D:\בעלי תשובה\ארז משה דורון\062 להוציא מהכוח אל הפועל
32.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,0.75,0.0,0.0,0.0,0.41860465116279066,0.0,0.9606856216073173,0.0,1.0,1.0,15.0,gemini_cached,D:\בעלי תשובה\ארז משה דורון\063 מנהיגות יהודית,D:\בעלי תשובה\ארז משה דורון\062 להוציא מהכוח אל הפועל
32.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9691741912843721,0.875,0.75,0.0,0.0,0.0,0.4,0.0,0.9519406151541415,0.0,1.0,1.0,15.0,gemini_cached,D:\בעלי תשובה\ארז משה דורון\061 אמת לרחק ואמת לקרב,D:\בעלי תשובה\ארז משה דורון\063 מנהיגות יהודית
32.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167312167978136,0.875,0.75,0.0,0.0,0.0,0.5,0.0,0.8968750697176644,0.0,1.0,1.0,15.0,gemini_cached,D:\בעלי תשובה\ארז משה דורון\063 מנהיגות יהודית,D:\בעלי תשובה\ארז משה דורון\064 תמיד תלמיד
32.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9690439847338169,0.875,0.75,0.0,0.0,0.0,0.42105263157894735,0.0,0.9186879816004199,0.0,1.0,1.0,15.0,gemini_cached,D:\בעלי תשובה\ארז משה דורון\032 להמתיק את הדין,D:\בעלי תשובה\ארז משה דורון\038 לשלוט על המלאכים
32.0,32.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939736605483116,0.875,0.75,0.0,0.0,0.0,0.38888888888888884,0.0,0.939736327568391,0.0,1.0,1.0,15.0,gemini_cached,D:\בעלי תשובה\ארז משה דורון\061 אמת לרחק ואמת לקרב,D:\בעלי תשובה\ארז משה דורון\064 תמיד תלמיד
